iter	Passed	Remaining
0	147	147277
1	148	73921
2	148	49429
3	149	37184
4	149	29834
5	150	24929
6	151	21429
7	151	18802
8	152	16758
9	152	15122
10	153	13788
11	153	12674
12	154	11733
13	155	10935
14	155	10234
15	156	9617
16	156	9072
17	157	8588
18	157	8154
19	158	7764
20	158	7411
21	159	7093
22	160	6803
23	160	6535
24	161	6288
25	161	6060
26	162	5848
27	162	5654
28	163	5473
29	164	5305
30	164	5150
31	165	5001
32	165	4862
33	166	4733
34	167	4609
35	167	4491
36	168	4381
37	168	4276
38	169	4176
39	170	4080
40	170	3988
41	171	3902
42	171	3819
43	172	3742
44	172	3667
45	173	3597
46	174	3528
47	174	3462
48	175	3399
49	175	3337
50	176	3280
51	176	3223
52	177	3169
53	177	3116
54	178	3066
55	179	3017
56	179	2971
57	180	2928
58	180	2885
59	181	2842
60	182	2802
61	182	2763
62	183	2727
63	183	2690
64	184	2654
65	185	2620
66	185	2586
67	186	2549
68	186	2518
69	187	2488
70	187	2459
71	188	2430
72	189	2402
73	189	2376
74	190	2351
75	191	2326
76	192	2301
77	192	2277
78	193	2253
79	193	2229
80	194	2207
81	195	2186
82	195	2164
83	196	2143
84	196	2120
85	197	2100
86	198	2079
87	198	2060
88	199	2041
89	200	2022
90	200	2004
91	201	1987
92	202	1970
93	202	1953
94	203	1937
95	204	1921
96	204	1905
97	205	1890
98	206	1874
99	206	1860
100	207	1845
101	207	1828
102	208	1815
103	209	1801
104	209	1788
105	210	1774
106	211	1761
107	211	1748
108	212	1735
109	213	1723
110	213	1711
111	214	1698
112	214	1686
113	215	1674
114	216	1663
115	216	1650
116	217	1639
117	218	1629
118	218	1617
119	219	1607
120	219	1596
121	220	1586
122	220	1573
123	221	1563
124	221	1553
125	222	1543
126	223	1534
127	223	1523
128	224	1513
129	224	1504
130	225	1495
131	226	1486
132	226	1477
133	227	1468
134	227	1460
135	228	1451
136	229	1443
137	229	1434
138	230	1426
139	230	1418
140	231	1410
141	232	1403
142	232	1395
143	233	1387
144	234	1380
145	234	1372
146	235	1365
147	235	1358
148	236	1351
149	237	1344
150	237	1337
151	238	1330
152	239	1323
153	239	1317
154	240	1310
155	240	1303
156	241	1297
157	242	1291
158	242	1284
159	243	1278
160	244	1272
161	244	1266
162	245	1260
163	246	1254
164	246	1248
165	247	1242
166	247	1236
167	248	1230
168	249	1225
169	249	1219
170	250	1213
171	251	1208
172	251	1203
173	252	1197
174	252	1192
175	253	1187
176	254	1182
177	254	1177
178	255	1172
179	256	1167
180	256	1161
181	257	1156
182	257	1151
183	258	1146
184	259	1142
185	259	1137
186	260	1132
187	261	1128
188	261	1123
189	262	1118
190	263	1114
191	263	1109
192	264	1105
193	265	1101
194	265	1097
195	266	1092
196	267	1088
197	267	1084
198	268	1079
199	268	1075
200	269	1071
201	270	1067
202	270	1063
203	271	1059
204	272	1055
205	272	1051
206	273	1047
207	274	1043
208	274	1039
209	275	1035
210	275	1031
211	276	1027
212	277	1023
213	277	1020
214	278	1016
215	279	1012
216	279	1009
217	280	1005
218	281	1002
219	281	998
220	282	994
221	282	991
222	283	987
223	284	984
224	284	980
225	285	977
226	286	974
227	286	971
228	287	967
229	288	964
230	288	961
231	289	958
232	290	955
233	290	952
234	291	948
235	292	945
236	292	942
237	293	939
238	294	936
239	294	933
240	295	930
241	295	927
242	296	924
243	297	920
244	297	917
245	298	915
246	299	912
247	299	909
248	300	906
249	301	904
250	302	901
251	302	898
252	303	895
253	304	892
254	304	890
255	305	887
256	305	884
257	306	881
258	307	878
259	308	876
260	308	873
261	309	871
262	309	868
263	310	865
264	311	863
