iter	Passed	Remaining
0	1	1350
1	2	1164
2	3	1115
3	4	1087
4	5	1064
5	6	1053
6	7	1061
7	8	1059
8	9	1053
9	10	1048
10	11	1076
11	13	1091
12	14	1101
13	15	1100
14	16	1093
15	17	1084
16	18	1077
17	19	1075
18	20	1073
19	21	1065
20	22	1061
21	23	1056
22	24	1050
23	25	1045
24	26	1051
25	28	1053
26	29	1078
27	31	1076
28	31	1071
29	32	1066
30	33	1060
31	34	1054
32	35	1049
33	36	1046
34	37	1042
35	38	1039
36	39	1036
37	40	1032
38	41	1033
39	43	1033
40	44	1031
41	45	1029
42	46	1025
43	47	1024
44	48	1021
45	49	1019
46	50	1020
47	51	1019
48	52	1017
49	53	1016
50	54	1014
51	55	1011
52	58	1038
53	59	1037
54	60	1037
55	61	1036
56	62	1033
57	63	1028
58	64	1025
59	65	1021
60	66	1018
61	67	1015
62	68	1014
63	69	1009
64	69	1004
65	70	1000
66	71	999
67	72	996
68	73	992
69	74	988
70	75	985
71	76	981
72	76	977
73	77	973
74	78	969
75	79	965
76	80	961
77	81	957
78	81	954
79	82	950
80	83	947
81	84	944
82	84	938
83	86	941
84	87	940
85	88	939
86	89	938
87	90	936
88	91	934
89	92	931
90	93	929
91	93	926
92	94	924
93	95	922
94	96	919
95	97	917
96	98	914
97	99	912
98	100	910
99	101	909
100	101	907
101	102	906
102	103	904
103	104	902
104	105	900
105	106	898
106	107	896
107	108	894
108	109	892
109	110	890
110	110	888
111	111	886
112	112	884
113	113	882
114	114	880
115	115	878
116	116	876
117	117	875
118	118	873
119	118	871
120	119	869
121	120	867
122	121	865
123	122	863
124	123	861
125	124	860
126	124	857
127	125	855
128	126	854
129	127	852
130	128	850
131	129	849
132	130	847
133	131	846
134	131	845
135	132	843
136	133	842
137	134	840
138	135	839
139	136	837
140	137	836
141	137	832
142	138	831
143	139	829
144	140	828
145	141	826
146	142	825
147	143	824
148	144	822
149	144	821
150	145	820
151	146	819
152	147	818
153	148	816
154	149	814
155	150	813
156	151	812
157	152	810
158	153	809
159	153	808
160	154	806
161	155	804
162	156	803
163	157	802
164	158	801
165	159	799
166	160	798
167	161	797
168	161	796
169	162	794
170	163	793
171	164	792
172	165	790
173	166	789
174	167	788
175	168	786
176	169	785
177	169	784
178	170	783
179	171	782
180	172	781
181	173	780
182	174	779
183	175	778
184	176	777
185	177	776
186	178	775
187	179	774
188	180	773
189	181	771
190	181	770
191	182	769
192	183	768
193	184	766
194	185	765
195	186	764
196	187	762
197	187	761
198	188	760
199	189	758
200	190	757
201	191	756
202	192	755
203	193	754
204	194	753
205	195	752
206	196	751
207	196	750
208	197	748
209	198	747
210	199	745
211	200	744
212	201	743
213	201	741
214	202	740
215	203	738
216	204	737
217	205	736
218	206	735
219	207	734
220	208	733
221	208	731
222	209	731
223	210	730
224	211	729
225	212	728
226	213	727
227	214	726
228	215	724
229	216	723
230	217	722
231	217	721
232	218	720
233	219	719
234	220	718
235	221	717
236	222	715
237	223	714
238	224	713
239	224	712
240	225	711
241	226	709
242	227	708
243	228	707
244	229	706
245	230	705
246	230	703
247	231	702
248	232	701
249	233	700
250	234	699
251	235	698
252	236	697
253	237	696
254	237	695
255	238	693
256	239	692
257	240	691
258	241	690
259	242	689
260	242	687
261	243	686
262	244	685
263	245	684
264	246	683
265	247	681
266	247	680
267	248	679
268	249	679
269	250	678
270	251	677
271	252	675
272	253	674
273	254	673
274	255	672
275	255	671
276	256	670
277	257	669
278	258	668
279	259	666
280	260	665
281	261	664
282	261	663
283	262	662
284	263	661
285	264	660
286	265	659
287	266	657
288	266	656
289	267	655
290	268	654
291	269	653
292	270	652
293	271	650
294	271	649
295	272	648
296	273	647
297	274	646
298	275	645
299	276	644
300	276	643
301	277	641
302	278	641
303	279	640
304	280	639
305	281	638
306	282	636
307	282	635
308	283	634
309	284	633
310	285	632
311	286	630
312	286	629
313	287	628
314	288	627
315	289	626
316	290	625
317	290	624
318	291	622
319	292	621
320	293	620
321	294	619
322	295	618
323	295	617
324	296	616
325	297	615
326	298	614
327	299	612
328	299	611
329	300	610
330	301	609
331	302	608
332	303	607
333	303	606
334	304	604
335	305	603
336	306	602
337	307	601
338	307	600
339	308	599
340	309	598
341	310	597
342	311	596
343	311	594
344	312	593
345	313	592
346	314	591
347	315	590
348	315	589
349	316	588
350	317	587
351	318	585
352	319	584
353	319	583
354	320	582
355	321	581
356	322	580
357	323	579
358	324	578
359	324	577
360	325	576
361	326	575
362	327	574
363	328	573
364	329	572
365	329	571
366	330	570
367	331	569
368	332	568
